Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
picar,Generar,1,1,1.0
Generar,"Representaciones,",1,1,1.0
"Representaciones,",se,1,1,1.0
se,deben,1,31,0.03225806451612903
deben,generar,1,2,0.5
generar,todas,1,1,1.0
las,"vectorizaciones,",1,40,0.025
"vectorizaciones,",ej:,1,1,1.0
ej:,Unigrama,1,1,1.0
Unigrama,con,1,1,1.0
con,"TF-IDF,",1,23,0.043478260869565216
"TF-IDF,",con,1,1,1.0
con,Frecuencia,1,23,0.043478260869565216
Frecuencia,y,1,1,1.0
y,con,1,60,0.016666666666666666
con,Binaria,1,23,0.043478260869565216
Binaria,y,1,1,1.0
y,a,1,60,0.016666666666666666
la,vez,1,89,0.011235955056179775
vez,con,1,1,1.0
con,"Titulo,",1,23,0.043478260869565216
"Titulo,",Contenido,1,1,1.0
Contenido,y,1,1,1.0
y,Titulo,1,60,0.016666666666666666
Titulo,+,1,1,1.0
+,"Contendio,",1,1,1.0
"Contendio,",entonces,1,1,1.0
entonces,si,1,7,0.14285714285714285
si,tenemos,1,15,0.06666666666666667
tenemos,tenemos,1,4,0.25
tenemos,2,1,4,0.25
2,opciones,1,4,0.25
opciones,de,1,2,0.5
de,"Características,",1,74,0.013513513513513514
"Características,",3,1,1,1.0
de,Representación,1,74,0.013513513513513514
Representación,y,1,1,1.0
y,3,1,60,0.016666666666666666
de,Elemento,1,74,0.013513513513513514
Elemento,de,1,1,1.0
de,Comparación,1,74,0.013513513513513514
Comparación,te,1,1,1.0
te,da,1,7,0.14285714285714285
da,18,1,2,0.5
18,=,1,2,0.5
=,2,1,1,1.0
2,*,1,4,0.25
3,*,1,6,0.16666666666666666
3,y,1,6,0.16666666666666666
y,plk,1,60,0.016666666666666666
plk,es,1,1,1.0
un,formato,1,17,0.058823529411764705
formato,de,1,1,1.0
de,archivo.,1,74,0.013513513513513514
archivo.,</s>,1,1,1.0
Y,me,1,5,0.2
me,parece,1,19,0.05263157894736842
parece,que,1,3,0.3333333333333333
el,csv,1,59,0.01694915254237288
csv,que,1,3,0.3333333333333333
que,genera,1,97,0.010309278350515464
genera,solo,1,1,1.0
solo,copia,1,5,0.2
copia,la,1,1,1.0
la,columna,1,89,0.011235955056179775
columna,que,1,1,1.0
se,quiere,1,31,0.03225806451612903
quiere,y,1,6,0.16666666666666666
ya,</s>,1,25,0.04
Ah,</s>,1,3,0.3333333333333333
<s>,si,1,488,0.0020491803278688526
si,cierto,1,15,0.06666666666666667
cierto,Va,1,1,1.0
gracias,Rolón,1,11,0.09090909090909091
<s>,import,1,488,0.0020491803278688526
import,spacy,1,1,1.0
spacy,</s>,1,1,1.0
#,Función,1,2,0.5
Función,para,1,1,1.0
para,normalizar,1,28,0.03571428571428571
normalizar,texto:,1,1,1.0
texto:,lematización,1,1,1.0
lematización,y,1,1,1.0
y,eliminación,1,60,0.016666666666666666
eliminación,estricta,1,1,1.0
estricta,de,1,1,1.0
de,"artículos,",1,74,0.013513513513513514
"artículos,","preposiciones,",1,1,1.0
"preposiciones,",conjunciones,1,1,1.0
conjunciones,y,1,1,1.0
y,pronombres,1,60,0.016666666666666666
pronombres,</s>,1,1,1.0
que,es,1,97,0.010309278350515464
es,igual,1,25,0.04
igual,como,1,2,0.5
como,lo,1,8,0.125
lo,mande,1,31,0.03225806451612903
mande,antes,1,1,1.0
antes,</s>,1,1,1.0
Quedo,chido,1,3,0.3333333333333333
chido,Muchas,1,4,0.25
Vamos,a,1,2,0.5
a,presentarlo,1,72,0.013888888888888888
presentarlo,hoy?,1,1,1.0
hoy?,</s>,1,1,1.0
Con,las,1,3,0.3333333333333333
pruebas,que,1,2,0.5
que,puso,1,97,0.010309278350515464
el,"Teams,",1,59,0.01694915254237288
"Teams,",tenemos,1,1,1.0
tenemos,que,1,4,0.25
que,poner,1,97,0.010309278350515464
poner,con,1,1,1.0
10,más,1,4,0.25
más,similares,1,8,0.125
similares,de,1,1,1.0
las,18,1,40,0.025
18,comparaciones,1,2,0.5
comparaciones,de,1,1,1.0
de,cada,1,74,0.013513513513513514
cada,una,1,2,0.5
una,</s>,1,9,0.1111111111111111
Entonces,serían,1,5,0.2
serían,5,1,1,1.0
5,tablas,1,3,0.3333333333333333
tablas,</s>,1,1,1.0
Si,sólo,1,11,0.09090909090909091
